variety,n_temps,temps,deltaT,Psi_n,lambda_min,cond,inv_CV_Ea,Ea_boot,realCV_Ea,realSE_Ea
Royal Gala,2,8/10,2,0.010019176473072926,0.0010019176473072926,611740.7334528372,1.6638876745878504,17.290072142064503,23.27364840460351,282.984396258063
Royal Gala,2,6/8,2,0.010285701459227818,0.0010285701459227818,597202.3246621523,0.3643665659776739,77.97125762484889,7.034654360902217,352.5977869288382
Royal Gala,2,4/6,2,0.010561018848553066,0.0010561018848553067,582940.3181505859,0.4075287818017891,70.48526002324012,7.010335429349044,429.05761655392314
Royal Gala,2,2/4,2,0.010845474149970773,0.0010845474149970772,568951.0091450487,0.2847391337220296,100.43842234120501,3.108866962838303,409.0364140662996
Royal Gala,2,6/10,4,0.04060801226291991,0.0040608012262919905,151101.54021331956,0.2981531951807987,47.71383142288097,4.989646578755016,175.1443092885666
Royal Gala,2,4/8,4,0.0416916275758309,0.00416916275758309,147501.7285723046,0.19356137316182812,74.00350634560482,2.4544620303066313,171.54050487601882
Royal Gala,2,2/6,4,0.04281110028166366,0.004281110028166366,143970.5529169495,0.16445597694393294,85.74515496704414,2.7607942140728023,207.92839160430196
Royal Gala,3,6/8/10,4,0.06091338839637442,0.004060892559758294,226645.93815954082,0.3037695922607425,48.33505164547219,4.1501828979083015,165.97617749221317
Royal Gala,3,4/6/8,4,0.062538872792653,0.004169258186176866,221246.25021520513,0.19453885112726998,74.04114903733524,2.506131158454472,195.83161020078865
Royal Gala,3,2/4/6,4,0.0642181465036012,0.004281209766906747,215949.5157737159,0.16267299295856444,85.67497027465821,2.3154180765651753,205.7018683581439
Royal Gala,2,4/10,6,0.0925870211128031,0.00925870211128031,66346.82554002658,0.17036415054996099,55.73229370208773,2.954737693319322,126.48621258119732
Royal Gala,2,2/8,6,0.09506548783724147,0.009506548783724148,64762.304824584055,0.1144787385412224,82.9223482357706,1.6140928187800723,114.68563139702304
Royal Gala,3,4/6/10,6,0.14368204971538157,0.009578803314358772,96229.05595572489,0.1723708300194484,54.436465435843836,2.6949935375676906,121.5221606796476
Royal Gala,3,4/8/10,6,0.14437624037601093,0.009625082691734062,95695.44918139947,0.16386603390180474,58.38796390983431,2.3372556766032053,120.87727189757322
Royal Gala,3,2/4/8,6,0.14752514514909507,0.009835009676606337,93933.52019097887,0.11288964155387975,81.83473562793364,1.5131912327334396,113.95529940751497
Royal Gala,3,2/6/8,6,0.14824438489771696,0.00988295899318113,93407.21345817283,0.10818465187030905,83.2172096847906,1.4898710434550166,115.76608228605664
Royal Gala,2,2/10,8,0.16680920919388012,0.016680920919388012,36867.910864270896,0.10523746675446946,67.07648136147793,1.5618095884302887,94.87017593291405
Royal Gala,4,4/6/8/10,6,0.20575664966404536,0.010287832483202268,119417.76631502183,0.15359624875202127,58.015689760921525,2.441063416442214,102.48238387593078
Royal Gala,4,2/4/6/8,6,0.211264722140233,0.01056323610701165,116565.64009920708,0.10680888613799915,81.90864247375022,1.48317991783683,111.67774514337684
Royal Gala,3,2/6/10,8,0.2502367244071403,0.01668244829380935,55295.52463400804,0.1052634864858499,67.11176700765114,1.6244371644786837,87.48285069089653
Royal Gala,3,2/4/10,8,0.2699744615743864,0.01799829743829243,51291.56186656279,0.10581613330251206,64.31449864687032,1.4990606689423254,82.97731611730308
Royal Gala,3,2/8/10,8,0.2721725298278768,0.018144835321858455,50801.2726263271,0.09674299800155786,70.54498543535938,1.3198253373588342,86.78969409685708
Royal Gala,4,2/4/6/10,8,0.3639726074795837,0.018198630373979185,67622.37528044716,0.1037773973103834,65.32558383293816,1.4843246514086799,78.2866352975657
Royal Gala,4,2/6/8/10,8,0.3658759115297561,0.018293795576487807,67195.16452280236,0.09607811365035637,70.04446214618793,1.2813228554466032,85.35552984798292
Royal Gala,4,2/4/8/10,8,0.41702745111834827,0.020851372555917413,58986.49666565016,0.0926059153415692,68.63190373566081,1.2146780132817945,73.65827708454727
Royal Gala,5,2/4/6/8/10,8,0.5213022118247133,0.020852088472988528,73729.95014589617,0.09355333840765191,68.58559125661827,1.1808407816789177,71.46446939906238
