n_T,dT,N_obs,Ea_true,Psi,cond,D,coverage,cov_t,cov_z,cov_znodf,rmse_Ea,bias_Ea,reported_halfwidth,true_sd,R2,n_ok,relerr_Ea,SE_ratio
3,35.62815868950058,210.0,43.7506993807689,295.1404279870061,2324.1041118418307,14228.413967446097,0.965,0.965,0.7575,0.6125,0.1663812664476411,0.006940715326711242,1.896667632427905,0.16623643492169365,0.9999882344546396,400,0.003802939582739009,5.821152071873358
5,6.782510901268443,365.0,46.64870546345901,1.0063921786512546,79578.25599644113,283.89939136608956,0.98,0.98,0.9025,0.8475,3.197168812978377,-0.08848913891502667,11.010213466195143,3.1959440062328444,0.9841053547619982,400,0.06853713905271802,1.7576828126976567
5,23.020145243580927,343.0,33.21622612317595,8.744305394873878,11526.770339849842,938.8130915392874,0.94,0.94,0.8475,0.77,0.9931247457382218,-0.014841559509437668,2.6992559608740345,0.993013841146706,0.9980907458489241,400,0.029898783265004603,1.3868602345148386
6,9.009486123760892,284.0,50.45690446336848,63.1010422885547,79200.73667604494,17758.289981178914,0.9325,0.9325,0.8025,0.7325,0.4075506824537724,0.02352459389614159,0.8180080509217279,0.4068711740226349,0.9998635750734475,400,0.008077203442982767,1.0257572249771099
3,34.18536294668022,176.0,41.3348791547106,553.2441190175309,4007.9853603445854,35025.13914975894,0.9575,0.9575,0.61,0.385,0.1839833727389829,0.014137605427774655,1.040525684475317,0.18343938932841025,0.9999960513536126,400,0.004451044166607073,2.8940373886247803
4,18.503945816917742,441.0,18.91822212011701,52.636611458670515,9711.625680263502,5187.210720422155,0.965,0.965,0.8575,0.75,0.5023407253790049,-0.007881772104915443,1.9397218918974761,0.5022788887090428,0.9988598898400531,400,0.02655327346245884,1.9703277376875483
4,3.889172221271693,275.0,47.605309835048246,0.6643879383016041,546977.3167387154,491.36746560981607,0.935,0.935,0.735,0.5675,4.355925091450603,0.3075585502176781,11.500936611526601,4.345053640695008,0.9934853670131805,400,0.09150082431022556,1.350460842840298
5,7.1625500618506495,462.0,41.725515636792686,2.0979214794283614,95443.90069852334,648.1317840951518,0.93,0.93,0.8225,0.7225,2.466218942109214,0.18143287893619223,5.842490693562347,2.459536131236786,0.9942555022960695,400,0.05910577507482146,1.2119612966439175
4,2.278398699882258,150.0,14.829152545053068,0.8176617449797295,1211144.5112835593,899.8531930531644,0.8925,0.8925,0.6425,0.53,2.561922156887925,0.01695474102657347,6.154185891436252,2.5618660532334627,0.9811097208848389,400,0.17276254655176296,1.225626436235355
6,54.93179563983483,352.0,32.615429566188276,55.65365030896895,1524.2513556719528,2172.8109929891752,0.8925,0.8925,0.7375,0.6225,0.7523429502972893,0.0453675047769274,1.1621109922544048,0.7509738373421173,0.9993350136676775,400,0.023067086967857302,0.7895265348481895
