n_T,n_t,dT,N_obs,Ea_true,sigma_y,sigma_lnk,E_het,D_het,E,D,A,c_deg,c_Ea,cond,lambda_min,lambda_max,rmse_Ea,rmse_deg,relerr_Ea,frac_ok
4,5,7.511064981246172,320.0,37.43344673456789,0.048559398803850184,0.019715176767475615,1.3700443828112223,529.5993437787747,1.542446197804357,540.7612695575123,3.0848672972490174,1.5424461978054596,1.775957361257414,122911.1011052842,1.542446197804357,189583.76056779252,3.099462187391965,3.3258634049233393,0.0827992733175107,1.0
6,5,21.12044230440111,365.0,58.911806228059945,0.012181133474728847,0.0069859863926841695,240.28566985963997,24721.51734556536,197.15155948452153,18770.02742136785,394.259622608367,197.15155948451746,235.53878193912237,9064.197936458766,197.15155948452153,1787020.7586492277,0.2499682381780931,0.2738888885117278,0.004243092415303202,1.0
4,7,4.417849654151652,182.0,55.02521129025287,0.019310062637908486,0.01077716911409535,1.9527053671695267,820.0174829463176,1.2850871849110852,579.2254324514727,2.570161718663994,1.285087184912622,1.4987572350131468,203156.18999061573,1.2850871849110852,261073.41629230196,2.0865841288027203,2.2532803930130005,0.037920510978071184,1.0
6,5,5.847490637190982,250.0,25.42513559449655,0.013745360524407791,0.008078816320063464,7.457172726518528,2960.362785659083,6.964702398252832,2540.198240026391,13.929300083863836,6.964702398262944,8.422881398570304,133024.02794885787,6.964702398252832,926472.7664806622,0.9894109283761072,1.0881445972759982,0.03891467656873666,1.0
5,6,7.9134397205781895,366.0,44.09969327679477,0.06898961334850626,0.03139057243690897,0.8532815357096966,315.38085080210544,0.6351140487253163,213.42375103621794,1.270216848919735,0.6351140487253849,0.7357904272058439,112922.90922181644,0.6351140487253163,71718.9260697092,4.6010975751514565,4.952810550945491,0.1043340040093329,1.0
3,4,34.34599574564014,60.0,17.4449273592146,0.04810466873274664,0.04130186735330671,4.657315941190787,232.31304461219108,3.999682211020243,204.19250105099556,7.996296387258628,3.9996822110200574,4.741630341950312,2606.3252071048896,3.999682211020243,10424.472566991079,0.9943309382210891,1.085391457257216,0.05699828481635223,1.0
6,7,40.2292938699998,518.0,64.15048518589158,0.047661243992279986,0.03299816921270531,42.54404232199415,2329.0684108714026,31.629420701723188,1585.376191869057,63.233672388624754,31.62942070172419,36.98389391337852,2512.361839816943,31.629420701723188,79464.54958652536,0.6491476390082944,0.7018851692194521,0.0101191384153562,1.0
6,4,16.287241826477217,276.0,27.676385075674794,0.007483994541056009,0.004357047598837688,400.5233553832111,49649.66434361648,231.95483302399,31327.58854667876,463.88423510096925,231.95483302399026,270.0159696205031,18240.934358229577,231.95483302399,4231072.883264704,0.1863776857111186,0.20121398249974792,0.006734177357393717,1.0
4,5,39.70429463852528,290.0,48.40486092361732,0.059958874110165365,0.03934737610884339,28.700193453745616,1544.5574818632679,20.176789494685476,948.3275276221905,40.335320160426406,20.176789494685618,24.00602611128912,2209.085822661939,20.176789494685476,44572.25961954403,1.0817152526520164,1.1851043765419962,0.022347244305875785,1.0
4,5,25.238197269913712,290.0,27.195424246486027,0.02041738565372743,0.009315893646597143,118.54609800139517,11356.835151919548,94.86261945067105,8587.191612886574,189.70208841978288,94.86261945068641,110.33755539872381,8194.304195472823,94.86261945067105,777333.1605581756,0.3742094697474962,0.4040462501586952,0.01376001588928507,1.0
